Class	Textularia agglutinans	Textularia truncata	Hauerina diversa	Miliolinella subrotunda	Miliolinella spp.	Peneroplis pertusus	Sigmamiliolinella australis	Amphistegina lobifera	Cymbaloporetta sp.	Discorbis globularis 	Discorbis vilardeboanus	Epistomaroides punctulata	Heterostegina depressa	Lenticulina cultrata	Neoconorbina sp. 1	Pararotalia calcariformata	Planorbulina mediterranensis	Rosalina floridana 	Rosalina sp.	Tretomphalus bulloides
1	5.16	0.00	15.87	1.64	6.55	0.88	8.19	37.91	0.00	0.00	0.25	0.00	0.50	0.00	1.01	3.02	2.64	0.00	0.00	10.96
1	2.62	0.00	16.68	2.62	0.00	0.39	0.68	40.35	1.36	0.00	0.00	0.87	0.00	0.00	0.00	11.25	0.00	0.00	0.00	21.63
1	3.88	0.00	16.72	1.79	0.00	0.60	0.00	57.31	0.00	0.00	0.00	0.90	0.90	0.00	0.00	3.58	0.90	0.00	0.30	6.87
1	5.85	0.00	15.47	0.85	0.37	0.73	0.24	52.74	2.80	0.00	0.12	1.34	1.95	0.00	0.00	0.24	1.83	0.00	0.00	7.67
1	3.18	0.00	6.12	2.47	0.14	0.66	0.66	68.04	0.90	0.00	0.00	0.38	1.04	0.00	0.00	2.23	0.00	0.00	0.00	10.43
1	5.80	0.15	3.57	0.00	0.45	0.45	0.00	73.66	0.60	0.00	0.00	6.70	4.17	0.00	0.00	0.00	1.19	0.00	0.00	0.89
2	29.65	0.00	0.45	0.00	0.00	0.00	0.00	69.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.45	0.00	0.00	0.00
2	20.37	0.00	0.00	1.42	0.00	0.00	0.00	78.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2	5.45	0.00	0.00	1.52	0.71	0.00	0.00	85.00	0.00	0.00	0.36	0.00	0.18	0.00	0.00	0.18	0.45	0.71	0.00	3.04
2	17.48	0.00	14.74	2.50	0.00	0.00	1.37	57.75	0.00	0.00	0.00	0.32	2.50	0.00	0.00	0.20	0.00	0.00	0.00	0.60
2	54.11	0.00	8.12	3.97	0.00	0.94	0.94	18.79	0.19	0.00	0.00	0.38	0.66	0.00	0.00	0.19	0.00	0.00	0.00	7.37
2	18.54	0.00	8.05	3.90	0.00	1.34	9.76	11.59	0.37	0.00	0.98	0.00	0.49	0.00	2.93	3.17	0.00	0.00	0.00	35.12
2	11.12	0.00	2.06	2.83	0.00	0.00	1.51	8.99	0.00	0.00	0.15	0.37	0.73	0.15	0.44	0.48	1.58	0.00	0.00	67.40
2	17.14	0.00	17.71	1.71	0.00	2.86	9.14	22.29	0.00	0.00	0.00	0.00	0.00	0.00	0.57	1.71	0.57	0.00	0.57	18.29
2	0.92	0.00	7.34	2.75	0.00	2.75	6.42	17.43	0.92	0.00	0.00	0.00	0.00	0.00	0.92	0.00	2.75	0.00	0.00	51.38
2	14.29	0.75	1.50	3.01	0.00	0.75	2.26	18.05	0.75	0.00	0.00	0.00	0.00	0.00	0.75	3.01	1.50	0.00	0.00	50.38
2	15.67	0.00	2.99	3.73	0.00	0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.75	0.00	0.00	73.13
2	25.24	5.83	5.83	1.94	0.00	0.97	0.00	14.56	0.00	0.00	0.00	0.00	0.97	0.00	0.97	12.62	2.91	0.00	0.97	22.33
2	0.15	0.00	0.00	8.16	0.00	0.00	60.39	8.75	4.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18.25
2	1.06	0.00	0.00	35.54	0.00	0.00	0.53	27.85	4.16	0.00	2.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.99
2	72.12	0.00	7.95	0.90	0.00	0.22	0.00	9.57	1.01	0.00	0.00	1.96	0.17	0.00	0.00	0.00	1.51	0.00	0.00	1.06
2	16.15	0.00	15.38	0.00	0.00	0.00	0.00	65.38	0.00	0.00	0.00	0.00	0.77	0.00	0.00	0.77	0.00	0.00	0.00	0.00
2	35.97	1.44	4.82	7.05	1.44	4.24	1.29	2.16	0.14	0.00	0.00	0.00	0.29	0.00	0.00	0.07	2.23	0.58	0.00	31.01
2	38.03	0.94	0.00	7.51	0.00	8.45	0.94	19.72	0.47	0.00	0.00	0.00	0.00	0.00	0.00	0.94	1.88	0.00	0.47	15.96
2	29.89	0.54	5.90	13.61	0.27	0.54	0.00	14.68	0.47	0.00	0.00	0.67	0.20	0.00	0.00	0.20	1.74	0.00	0.13	26.27
2	73.30	0.00	1.01	1.85	0.00	0.08	0.08	7.56	1.18	0.00	2.94	0.84	0.00	0.00	0.00	0.00	4.45	0.00	0.00	4.28
2	31.03	0.00	10.60	2.17	0.26	0.00	0.00	31.29	1.02	0.00	0.64	2.55	0.13	0.00	0.00	0.00	10.34	0.13	0.00	1.66
2	7.76	0.00	9.59	4.11	0.46	0.00	0.91	51.14	0.46	0.00	6.39	0.00	0.46	0.00	0.00	0.00	1.37	0.00	0.00	10.05
2	4.54	0.00	1.68	2.05	0.07	19.39	0.00	64.89	2.63	0.00	0.15	0.00	0.00	0.00	0.00	0.29	0.00	0.00	0.00	2.63
